Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2025-01-28 03:45:00+00:00,1230.550048828125,1236.300048828125,1228.5999755859375,1236.300048828125,0
2025-01-28 03:50:00+00:00,1227.449951171875,1231.449951171875,1226.0,1230.5,214383
2025-01-28 03:55:00+00:00,1223.9000244140625,1227.800048828125,1223.0,1227.6500244140625,205937
2025-01-28 04:00:00+00:00,1224.1500244140625,1224.8499755859375,1222.1500244140625,1223.949951171875,217203
2025-01-28 04:05:00+00:00,1222.300048828125,1225.0,1221.9000244140625,1224.4000244140625,189529
2025-01-28 04:10:00+00:00,1221.3499755859375,1222.800048828125,1220.5999755859375,1222.1500244140625,198959
2025-01-28 04:15:00+00:00,1221.8499755859375,1221.949951171875,1220.0,1221.1500244140625,208683
2025-01-28 04:20:00+00:00,1219.75,1222.0,1219.75,1221.699951171875,191566
2025-01-28 04:25:00+00:00,1224.449951171875,1224.449951171875,1219.300048828125,1219.75,194851
2025-01-28 04:30:00+00:00,1222.9000244140625,1225.0999755859375,1222.5999755859375,1224.0,153413
2025-01-28 04:35:00+00:00,1220.75,1223.949951171875,1219.75,1222.699951171875,209047
2025-01-28 04:40:00+00:00,1221.1500244140625,1221.5,1219.25,1220.75,126532
2025-01-28 04:45:00+00:00,1220.3499755859375,1221.199951171875,1219.050048828125,1221.1500244140625,81634
2025-01-28 04:50:00+00:00,1221.0,1221.3499755859375,1219.300048828125,1220.3499755859375,73771
2025-01-28 04:55:00+00:00,1223.1500244140625,1223.5,1221.0,1221.0,73357
2025-01-28 05:00:00+00:00,1224.300048828125,1224.449951171875,1222.800048828125,1223.1500244140625,104478
2025-01-28 05:05:00+00:00,1223.0,1224.9000244140625,1222.6500244140625,1224.0,52522
2025-01-28 05:10:00+00:00,1225.5999755859375,1226.9000244140625,1223.0,1223.0,129546
2025-01-28 05:15:00+00:00,1226.5999755859375,1226.9000244140625,1225.25,1225.449951171875,51816
2025-01-28 05:20:00+00:00,1227.3499755859375,1228.949951171875,1226.4000244140625,1226.4000244140625,95418
