Close,High,Low,Open,Volume,RSI_14,EMA_5,EMA_20,VWAP,ATR_14,rolling_mean_5,rolling_std_5,rolling_volume_mean_5
1227.449951171875,1231.449951171875,1226.0,1230.5,0.03369172393980521,3.6231755860238763,1229.5166829427085,1230.2548014322915,1228.2999674479167,6.57501220703125,1229.0,2.192100075074898,0.016845861969902606
1223.9000244140625,1227.800048828125,1223.0,1227.6500244140625,0.03236437848612841,2.857142857142847,1227.64446343316,1229.6495845734128,1226.6341555223296,5.983357747395833,1227.3000081380208,3.3275468985361685,0.022018700808644542
1224.1500244140625,1224.8499755859375,1222.1500244140625,1223.949951171875,0.034134905822278405,2.577300127103186,1226.4796504267943,1229.125816939189,1225.6401748121214,5.162506103515625,1226.5125122070312,3.1404317548078735,0.025047752062053008
1222.300048828125,1225.0,1221.9000244140625,1224.4000244140625,0.029785751419596433,7.352888378271643,1225.0864498939045,1228.4757437857543,1225.0504297923076,4.75,1225.67001953125,3.3084291209998127,0.025995351933561693
1221.3499755859375,1222.800048828125,1220.5999755859375,1222.1500244140625,0.031267739062051124,6.097536769814013,1223.8409584579156,1227.7970991952957,1224.3781075224867,4.32501220703125,1223.8300048828125,2.3293044677257773,0.032248899745971914
1221.8499755859375,1221.949951171875,1220.0,1221.1500244140625,0.032795930773104075,32.05853630514706,1223.1772975005897,1227.230706470595,1223.8522202120157,3.9857177734375,1222.710009765625,1.2497196467244218,0.03206974111263169
1219.75,1222.0,1219.75,1221.699951171875,0.030105879609170157,29.37990668658405,1222.0348650003932,1226.5182582353002,1223.4019717179578,3.7687530517578125,1221.8800048828125,1.5928103467827475,0.03161804133724004
1224.449951171875,1224.449951171875,1219.300048828125,1219.75,0.030622139355242654,26.32832863528607,1222.8398937242205,1226.3212766102122,1223.3216021261867,3.922214084201389,1221.939990234375,1.7016038939535711,0.03091548804383289
1222.9000244140625,1225.0999755859375,1222.5999755859375,1224.0,0.024109880190021304,27.725034856610606,1222.8599372875012,1225.9954430677217,1223.3399062298247,3.77999267578125,1222.0599853515625,1.7536998419172687,0.029780313797917863
1220.75,1223.949951171875,1219.75,1222.699951171875,0.03285313581041622,26.71218750870935,1222.1566248583342,1225.495877061272,1223.1442417455432,3.8181707208806817,1221.939990234375,1.8331534411666068,0.030097393147590877
1221.1500244140625,1221.5,1219.25,1220.75,0.01988535104719793,28.82477128782547,1221.8210913769103,1225.0819863329664,1222.9936759989928,3.6874898274739585,1221.8,1.868138323784583,0.027515277202409656
1220.3499755859375,1221.199951171875,1219.050048828125,1221.1500244140625,0.012829329714119398,35.020237912850945,1221.330719446586,1224.6313186427733,1222.8896217211113,3.5692138671875,1221.9199951171875,1.716671186322806,0.024059967223399502
1221.0,1221.3499755859375,1219.300048828125,1220.3499755859375,0.011593606614159566,43.077137706043956,1221.2204796310575,1224.285478772033,1222.8134376451167,3.460693359375,1221.2300048828124,0.9814683651471139,0.020254260675182885
1223.1500244140625,1223.5,1221.0,1221.0,0.0115285437420518,47.80483157374492,1221.8636612253927,1224.17734026175,1222.8051753476554,3.089259556361607,1221.2800048828126,1.0883623446218165,0.017737993385588985
1224.300048828125,1224.449951171875,1222.800048828125,1223.1500244140625,0.016419417275544093,53.17274611620403,1222.6757904263036,1224.1890267918811,1222.8498530251309,2.8178274972098216,1221.9900146484374,1.66262753587223,0.014451249678614558
1223.0,1224.9000244140625,1222.6500244140625,1224.0,0.008254183982715277,59.77250658898599,1222.7838602842025,1224.0757861450352,1222.8638855312686,2.63568115234375,1222.360009765625,1.6345738110418049,0.012125016265718026
1225.5999755859375,1226.9000244140625,1223.0,1223.0,0.02035902132867814,63.76143706673536,1223.7225653847809,1224.2209470441687,1222.97751196346,2.721400669642857,1223.410009765625,1.7052835019620747,0.013630954588629776
1226.5999755859375,1226.9000244140625,1225.25,1225.449951171875,0.008143231355401067,58.26097571331521,1224.6817021184997,1224.447521191004,1223.0408488564847,2.617832728794643,1224.5300048828126,1.5594676046643743,0.012940879536878076
1227.3499755859375,1228.949951171875,1226.4000244140625,1226.4000244140625,0.014995577610577022,71.53697552569038,1225.5711266076457,1224.7239454190928,1223.1966001087312,2.642822265625,1225.3699951171875,1.7498376741226176,0.01363428631058312
1225.6500244140625,1228.9000244140625,1225.6500244140625,1227.6500244140625,0.018782582511980055,63.31114036189654,1225.5974258764513,1224.8121434186137,1223.342752323403,2.735682896205357,1225.639990234375,1.6444506736460385,0.014106919357870312
1231.0999755859375,1231.4000244140625,1225.0,1225.949951171875,0.03904778129319845,68.92515501200737,1227.4316091129467,1225.4109845774065,1223.8034993129772,3.0321132114955356,1227.2599853515626,2.2658796732915842,0.020265638819966948
1230.4000244140625,1231.75,1230.199951171875,1231.0,0.01359814027052325,75.06351996918738,1228.4210808799853,1225.8861312285164,1223.9906416566225,2.7749808175223216,1228.2199951171874,2.3996334051747694,0.018913462608335967
1231.0,1231.050048828125,1229.0,1230.4000244140625,0.01342511074832361,76.49865634678548,1229.280720586657,1226.37316634961,1224.1546378157627,2.7428414481026784,1229.1,2.462969895009057,0.019969838486920476
1230.5999755859375,1231.300048828125,1229.3499755859375,1231.25,0.017972596901247133,78.96082234993384,1229.720472253084,1226.7757196102127,1224.3636092939048,2.5821358816964284,1229.75,2.3097469625197937,0.020565242345054503
1232.199951171875,1232.800048828125,1229.25,1230.5999755859375,0.03141908096021484,79.95312895870282,1230.5469652260144,1227.2923130922757,1224.7523924599611,2.6749965122767856,1231.0599853515625,0.6985479504343443,0.023092542034701458
